id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5768393,0,"AllofUs DalaliApp Technologies",https://angel.co/allofus-dalaliapp-technologies,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5768393-12de106145392350214663d1fc6d50c6-medium_jpg.jpg?buster=1526945680,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5768393-12de106145392350214663d1fc6d50c6-thumb_jpg.jpg?buster=1526945680,0,"DalaliApp is a newly launched Real estate mobile App which is re inventing how people do discover and find real estates in Tanzania:

Our app allows people with smartphones to search, choose and move into new homes, new houses, better office space or buy a new building, apartments or plot of land with no hassles and unnecessary expenses

We are digitizing real estate market, property brokerage services and improve the search experience for buyers, sellers and tenants:

With DalaliApp Property managers and Brokers can market their properties in a bigger platform that has potential to reach more customers and tenants

Our users can easily find houses or leave order/request for the brokers to find one for them, and they will be alerted by the app that a house/property is found:

RE Brokers and Property managers with our App get daily customer requests and they can contact them directly by calling and may be close a deal:

Banks and SMEs do also use the App to generate sales leads quickly","An UBER for Real estates, Homes, Offices, Plots of Land and Farms",1,http://www.dalaliapp.co.tz/,2018-05-21T23:34:41.000Z,2018-05-21T23:52:17.000Z,,,,,,,"Mobile, Real Estate, Marketplaces, Bridging Online and Offline","Dar es Salaam",,,,
5702264,0,"Moladi Tanzania - Taucan Insurance",https://angel.co/moladi-tanzania-taucan-insurance,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5702264-82df8e5615f7b88823ea43cdabdeef0d-medium_jpg.jpg?buster=1525709185,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5702264-82df8e5615f7b88823ea43cdabdeef0d-thumb_jpg.jpg?buster=1525709185,0,"Moladi Tanzania:
Affordable housing construction system that has been in business for over five years now. Working with The WorldBank to construct judiciary courts.

Taucan Insurance Company:

A newly established insurance company focusing on legal aid insurance for both individuals and corporations.

Metrix Group of Companies:

A business intelligence company offering services to clients looking for data and other platforms from Tanzania.","A serial social entrepreneur focusing on ventures that have direct social impact",1,http://www.moladitz.com,2018-05-07T16:00:30.000Z,2018-05-07T16:06:26.000Z,,,,,,,"East Africa","Dar es Salaam",,,,
5627745,0,Harlos,https://angel.co/harlos,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5627745-45e28b75c7c97e2021c1300d92b75459-medium_jpg.jpg?buster=1524198372,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5627745-45e28b75c7c97e2021c1300d92b75459-thumb_jpg.jpg?buster=1524198372,0,"My product is used shipping containers which help people solve the problem of flexible storage, movable offices during projects and stylish store for business. My customer are manufacturing companies, construction companies and small business on food and retails.","Used shipping container ",3,http://www.harloscompltd.co.tz,2018-04-20T04:26:12.000Z,2018-04-20T04:43:27.000Z,,,,,,,Trading,"Dar es Salaam",,,,
5595860,0,"Africa Natural Tours",https://angel.co/africa-natural-tours-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5595860-f43d92c9d8d6bb8d74902faaf8e7e1a9-medium_jpg.jpg?buster=1523605558,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5595860-f43d92c9d8d6bb8d74902faaf8e7e1a9-thumb_jpg.jpg?buster=1523605558,0,"Get our Big Offer 2018 with Africa Natural Tours .BOOK NOW. Back-to-top. Contact Information. Email: info@africanaturaltours.com OR: africanaturaltours2008@gmail.com OR:  godfreyngaiza@gmail.com.  Whatsapp/Wechat +255 653679958 OR: Whatsapp: +255 764415889.  Website: www.africanaturaltours.com ,Our packages involve Mount Kilimanjaro, Mount Kenya and Mount Meru, Wildlife Safari such as Serengeti and Ngorongoro Crater, Culture tourism such as Masai and beach holiday such as Zanzibar.",Tourism,1,http://www.africanaturaltours.com/,2018-04-13T07:45:58.000Z,2018-04-13T07:50:23.000Z,,,,,,,"Travel & Tourism","Moshi Urban",,,,
5335456,0,"Dondosha ",https://angel.co/dondosha,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5335456-815b37b6ab5937f883ad1da8f415d64f-medium_jpg.jpg?buster=1518880274,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5335456-815b37b6ab5937f883ad1da8f415d64f-thumb_jpg.jpg?buster=1518880274,0,"Dondosha is a digital newspaper, magazine and books distribution platform, that distributes publications through Web Widgets that bloggers applies as a affiliate and through Dondosha Mobile Application (Google Play Store & App Store).","Interactive Newspaper Becomes a Reality",1,http://www.dondosha.com,2018-02-17T15:11:15.000Z,2018-02-17T15:30:44.000Z,,,,,,,"Mobile, Mobile Payments, Social Network, Digital Publishing","Dar es Salaam",,,,
5322388,0,"Tanzania Tech",https://angel.co/tanzaniatech,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5322388-cfaa1dec4e10d1982c86036958f9b3aa-medium_jpg.jpg?buster=1518625145,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5322388-cfaa1dec4e10d1982c86036958f9b3aa-thumb_jpg.jpg?buster=1518625145,0,"We think about how Africa need to understand about technology, that's why we provide tech news in Swahili language so that many people in Tanzania can understand whats going on in technology industry.","Tech News For Tanzanian",1,https://tanzaniatech.one,2018-02-14T16:12:59.000Z,2018-02-14T16:21:37.000Z,http://www.crunchbase.com/organization/tanzania-tech,https://twitter.com/tanzaniatech,,https://www.facebook.com/tanzaniatech/,https://www.linkedin.com/company/tanzania-tech/,,"Digital Media, News, Website",Tanzania,1-10,"Digital Media Production",,
5176923,0,"AMATECH DIGITAL COMPANY",https://angel.co/amatech-digital-company,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5176923-b8691d06d09a30e13da6ee706ab17ceb-medium_jpg.jpg?buster=1516047990,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5176923-b8691d06d09a30e13da6ee706ab17ceb-thumb_jpg.jpg?buster=1516047990,0,"Digital security products, Attendance Solutions, Telematics, Cryptography Identity & Block-chain Identity","DIGITAL SECURITY",1,http://www.amatech.co,2018-01-15T20:26:31.000Z,2018-01-15T20:26:31.000Z,,,,,,,"Colleges, Banking, Insurance Companies, Community Organisations",Tanzania,,,,
5042857,0,"Smart Lab",https://angel.co/smart-lab-2,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5042857-fc0e69d6ee1981758317c94cbcb2cb66-medium_jpg.jpg?buster=1513088238,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5042857-fc0e69d6ee1981758317c94cbcb2cb66-thumb_jpg.jpg?buster=1513088238,0,,"Innovation lab + accelerator driving the growth of Africa’s innovative startups.",3,http://smartlab.co.tz/,2017-12-12T14:17:19.000Z,2017-12-12T14:24:06.000Z,,,,,,,Incubators,"Dar es Salaam",1-10,,,
4304371,0,Pomelor,https://angel.co/pomelor,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4304371-93158591f444e3ae913ea14152b7715c-medium_jpg.jpg?buster=1498656658,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4304371-93158591f444e3ae913ea14152b7715c-thumb_jpg.jpg?buster=1498656658,4,"Pomelor offers a platform to:

1. Venues/Halls: View multiple listings in the form of meeting or banquet venues with each listing having various sets of information regarding the place and a direct option to reserve and book the listing for a particular day of choice with cashless payments made possible within the platform. Users could also choose to re-schedule or cancel the bookings subject to a re-schedule or cancellation policy through their user profiles created in the platform.

2.	Restaurants: View multiple listings in the form of restaurants with each listing having various sets of information regarding the place with options to book a table for a number of people at certain timings and an ability to choose from menu and order food before visiting a specific restaurant to save waiting time. Users could also choose to re-schedule the bookings subject to a re-schedule or cancelation policy through their user profiles created in the platform","Venue/Restaurant Booking platform",2,http://www.pomelor.co.tz,2017-06-28T13:30:59.000Z,2017-09-18T09:32:19.000Z,,https://twitter.com/pomeloronline,,https://www.facebook.com/pomeloronline,https://www.linkedin.com/company/pomelor,https://www.youtube.com/watch?v=02zo0QJ-1Tk,"Restaurants, Meeting Software, Mobile Application, Venue And Events","Dar es Salaam",,,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/834/679/834679-c5b8309c5002a5b5a24a94172de0b6b7ad4f89b5.png?1505726623, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/834/682/834682-2a27602d38a8a242fa98788409d656e4691bd8e2.jpg?1505726957"
4222231,0,"HI-LAB SOLUTION",https://angel.co/hilabsolution,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4222231-b340644dd264b91cb8b2df9503c0a896-medium_jpg.jpg?buster=1496836673,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4222231-b340644dd264b91cb8b2df9503c0a896-thumb_jpg.jpg?buster=1496836673,3,,"Website Design & Development, Application Develpment, Brand Development",2,http://www.hi-labsolution.com,2017-06-07T11:57:53.000Z,2017-06-16T13:51:24.000Z,,,http://www.bloglabsolution.com,https://www.facebook.com/HiLabSolution/,,,"Web Design, iOS, Android, Business Development, Web Development, Ecommerce, Brand Development, Website, Digital Marketing","Anand, Dar es Salaam",1-10,"Mobile App Developer, Web Development, Brand Development, Web Design, Software Development",,
